At time 0 s::(a, b, carry_in): 000  (sum, carry_out): 00
At time 5 ns::(a, b, carry_in): 001  (sum, carry_out): 00
At time 5 ns::(a, b, carry_in): 001  (sum, carry_out): 10
At time 10 ns::(a, b, carry_in): 010  (sum, carry_out): 10
At time 10 ns::(a, b, carry_in): 010  (sum, carry_out): 00
At time 10 ns::(a, b, carry_in): 010  (sum, carry_out): 10
At time 15 ns::(a, b, carry_in): 011  (sum, carry_out): 10
At time 15 ns::(a, b, carry_in): 011  (sum, carry_out): 00
At time 15 ns::(a, b, carry_in): 011  (sum, carry_out): 01
At time 20 ns::(a, b, carry_in): 100  (sum, carry_out): 01
At time 20 ns::(a, b, carry_in): 100  (sum, carry_out): 11
At time 20 ns::(a, b, carry_in): 100  (sum, carry_out): 10
At time 25 ns::(a, b, carry_in): 101  (sum, carry_out): 10
At time 25 ns::(a, b, carry_in): 101  (sum, carry_out): 00
At time 25 ns::(a, b, carry_in): 101  (sum, carry_out): 01
At time 30 ns::(a, b, carry_in): 110  (sum, carry_out): 01
At time 30 ns::(a, b, carry_in): 110  (sum, carry_out): 11
At time 30 ns::(a, b, carry_in): 110  (sum, carry_out): 01
At time 35 ns::(a, b, carry_in): 111  (sum, carry_out): 01
At time 35 ns::(a, b, carry_in): 111  (sum, carry_out): 11
At time 40 ns::(a, b, carry_in): 110  (sum, carry_out): 11
At time 40 ns::(a, b, carry_in): 110  (sum, carry_out): 01
At time 45 ns::(a, b, carry_in): 101  (sum, carry_out): 01
At time 45 ns::(a, b, carry_in): 101  (sum, carry_out): 11
At time 45 ns::(a, b, carry_in): 101  (sum, carry_out): 00
At time 45 ns::(a, b, carry_in): 101  (sum, carry_out): 01
At time 50 ns::(a, b, carry_in): 100  (sum, carry_out): 01
At time 50 ns::(a, b, carry_in): 100  (sum, carry_out): 11
At time 50 ns::(a, b, carry_in): 100  (sum, carry_out): 10
At time 55 ns::(a, b, carry_in): 011  (sum, carry_out): 10
At time 55 ns::(a, b, carry_in): 011  (sum, carry_out): 00
At time 55 ns::(a, b, carry_in): 011  (sum, carry_out): 01
At time 60 ns::(a, b, carry_in): 010  (sum, carry_out): 01
At time 60 ns::(a, b, carry_in): 010  (sum, carry_out): 11
At time 60 ns::(a, b, carry_in): 010  (sum, carry_out): 10
At time 65 ns::(a, b, carry_in): 001  (sum, carry_out): 10
At time 65 ns::(a, b, carry_in): 001  (sum, carry_out): 00
At time 65 ns::(a, b, carry_in): 001  (sum, carry_out): 11
At time 65 ns::(a, b, carry_in): 001  (sum, carry_out): 10
At time 70 ns::(a, b, carry_in): 000  (sum, carry_out): 10
At time 70 ns::(a, b, carry_in): 000  (sum, carry_out): 00
