path	ext	bytes	category	top_dir	action_hint
build_instructions/cslc_build.doc	.doc	3313	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/cslc_related_tools_installation.txt	.txt	3392	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/etcprofile_mod_before_unset_pathmunge.txt	.txt	156	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/fpl_cslc_gui_build_setup.txt	.txt	1049	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/fpl_mac_build_issues.txt	.txt	2300	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/how_to_compile_boost_haru.txt	.txt	273	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/installation_history1.txt	.txt	7384	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
build_instructions/windows_deps.txt	.txt	444	DOCUMENTATION	build_instructions	docs_site_or_asciidoc_later
csim_doc.txt	.txt	12771	TEXT_OR_LOG	csim_doc.txt	see_MISC_PORT_MAP_txt
cslc_docs/CLI.odt	.odt	13040	OTHER	cslc_docs	see_MISC_PORT_MAP_txt
cslc_docs/Verilog_keywords.odt	.odt	9392	OTHER	cslc_docs	see_MISC_PORT_MAP_txt
doc_code_conventions/README.txt	.txt	3276	TEXT_OR_LOG	doc_code_conventions	see_MISC_PORT_MAP_txt
docs/application_notes/DocsFigures/autorouter/NearestCommonAncestor(NCA).PNG	.png	13409	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/cnt/csl_schema.backup.fm	.fm	117760	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/cnt/csl_schema.pdf	.pdf	61163	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/compiler_components_and_processes/CSLc_Flow.odg	.odg	18485	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/compiler_components_and_processes/CSLc_Flow.png	.png	54031	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/csim_and_testbench/interface_consistency.PNG	.png	127473	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/csim_and_testbench/table1.4_testbench.ods	.ods	18641	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/isa/CSL_ISA.odg	.odg	11482	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/isa/CSL_ISA.png	.png	11932	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/isa/CSL_ISA_Usage_model.PNG	.png	15770	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/isa/ISA_Elements.PNG	.png	27433	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/microengine/microengine.odg	.odg	35484	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/microengine/microengine.png	.png	10885	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/microengine/microengineExample.PNG	.png	10022	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/mm_and_soc/mm_and_SoC_bus_flat_hierarchical.PNG	.png	75125	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipeline/ParallelPipelines_matching_bypass_logic.PNG	.png	19847	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipeline/pipeline_bus_with_stall_and_qualified_valid_bit.PNG	.png	12943	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipelinecnt/cnt.png	.png	12442	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipelinecnt/cslLanguage.png	.png	20156	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipelinecnt/pipeline.odg	.odg	13045	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/pipelinecnt/pipeline.png	.png	33308	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/DocsFigures/signal_group/signal_group.PNG	.png	5922	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/BackUp_of_csl_testbench.fm	.fm	432128	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_application_specific_memory.fm	.fm	358400	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_asm.fm	.fm	112640	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_auto_router.fm	.fm	333824	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_auto_router_internal_specification.fm	.fm	268288	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_book.book	.book	37888	DOCUMENTATION	docs	docs_site_or_asciidoc_later
docs/application_notes/production/csl_bookTOC.fm	.fm	158720	DOCUMENTATION	docs	docs_site_or_asciidoc_later
