,"pie_eth_dq1 ","pie_eth_nq01","pie_eth_nq11","pie_aud_nq1 ","pie_aud_dq1 ","ipc","pie_ex_nq1  ","pie_ex_dq1  ","sram0","clk","emac00","emac11","reset","debug","audio in","audio out","video in","video out","eth phy0","eth phy1","PPC","DRAM","flash","rtc","SRAM"
"pie_eth_dq1 ",,"fabric",,,,,,,,,,,,,,,,,,,,,,,
"pie_eth_nq01",,,"fabric",,,,,,,,,,,,,,,,,,,,,,
"pie_eth_nq11",,,,"fabric",,,,,,,,,,,,,,,,,,,,,
"pie_aud_nq1 ",,,,,"fabric",,,,,,,,,,,,,,,,,,,,
"pie_aud_dq1 ",,,,,,"fabric",,,,,,,,,,,,,,,,,,,
"ipc",,,,,,,"fabric",,,,,,,,,,,,,,,,,,
"pie_ex_nq1  ",,,,,,,,"fabric",,,,,,,,,,,,,,,,,
"pie_ex_dq1  ",,,,,,,,,"fabric",,,,,,,,,,,,,,,,
"sram0",,,,,,,,,,,,,,,,,,,,,,,,,
"clk",,,,,,,,,,,,,,,,,,,,,,,,,
"emac00","rx",,,,,,,,,,,,,,,,,,,,,,,,
"emac11",,"tx, tx",,,,,,,,,,,,,,,,,,,,,,,
"reset",,,"rx",,,,,,,,,,,,,,,,,,,,,,
"debug",,,,,,,,,,,,,,,,,,,,,,,,,
"audio in",,,,"yes",,,,,,,,,,,,,,,,,,,,,
"audio out",,,,,"yes",,,,,,,,,,,,,,,,,,,,
"video in",,,,,,,"yes",,,,,,,,,,,,,,,,,,
"video out",,,,,,,,"yes",,,,,,,,,,,,,,,,,
"eth phy0",,,,,,,,,,,"rx,tx",,,,,,,,,,,,,,
"eth phy1",,,,,,,,,,,,"rx,tx",,,,,,,,,,,,,
"PPC",,,,,,"yes",,,,,,,,,,,,,,,,,,,
"DRAM",,,,,,"yes",,,,,,,,,,,,,,,,,,,
"flash",,,,,,"yes",,,,,,,,,,,,,,,,,,,
"rtc",,,,,,"yes",,,,,,,,,,,,,,,,,,,
"SRAM",,,,,,,,,,,,,,,,,,,,,,,,,
