"csl_type","type_decl","from_instance_unit_name","from_connect_obj_inst_name","from_width","from_direction","to_instance_unit_name","to_connect_obj_inst_name","to_width","to_direction","actual_name"
"interface","fabric_ifc","pie_eth_dq1 ","fab_add",,,"pie_eth_nq01","fab_drop",,,"rn1_rn2"
"interface","fabric_ifc","pie_eth_nq01","fab_add",,,"pie_eth_nq11","fab_drop",,,"rn2_rn3"
"interface","fabric_ifc","pie_eth_nq11","fab_add",,,"pie_aud_nq1 ","fab_drop",,,"rn3_rn4"
"interface","fabric_ifc","pie_aud_nq1 ","fab_add",,,"pie_aud_dq1 ","fab_drop",,,"rn4_rn5"
"interface","fabric_ifc","pie_aud_dq1 ","fab_add",,,"ipc","fab_drop",,,"rn5_rn6"
"interface","fabric_ifc","ipc","fab_add",,,"pie_ex_nq1  ","fab_drop",,,"rn6_rn7"
"interface","fabric_ifc","pie_ex_nq1  ","fab_add",,,"pie_ex_dq1  ","fab_drop",,,"rn7_rn8"
"interface","fabric_ifc","pie_ex_dq1  ","fab_add",,,"sram0","fab_drop",,,"rn8_rn9"
"interface","fabric_ifc","sram0","fab_add",,,"pie_eth_dq1 ","fab_drop",,,"rn9_rn1"
"interface","sb_ifc","cil","sb",,,"put_dma0","sb",,,"cil_pdma0"
"interface","sb_ifc","cil","sb",,,"put_dma1","sb",,,"cil_pdma1"
"interface","malt_ifc","maclu","malt",,,"cil","malt",,,"maclu_cil"
"interface","vrr_ifc","doorbell","vrr",,,"cil","vrr",,,"db_cil"
"interface","cdrv_ifc","put_dma0","cdrv",,,"cil","cdrv",,,"pdma0_cil"
"interface","cdrv_ifc","put_dma1","cdrv",,,"cil","cdrv",,,"pdma1_cil"
"interface","sb_ifc","cil","sbfd",,,"fabric_dma0","sbfd",,,"cil_fdma0"
"interface","sb_ifc","cil","sbfd",,,"fabric_dma1","sbfd",,,"cil_fdma1"
"interface","dw_ifc","fabric_drop","db_dw",,,"doorbell","dw",,,"fd_db"
"interface","dw_ifc","fabric_drop","dreg_dw",,,"reg","dw",,,"fd_reg"
"interface","adw_ifc","fabric_drop","maclu_adw",,,"maclu","adw",,,"fd_maclu"
"interface","adw_ifc","fabric_drop","qm_adw",,,"qm","dw",,,"fd_qm"
"interface","adwr_ifc","fabric_drop","adwr",,,"arb","adwr",,,"fd_arb"
