"csl_type","type_decl","from_instance_unit_name","from_connect_obj_inst_name","from_width","from_direction","to_instance_unit_name","to_connect_obj_inst_name","to_width","to_direction","actual_name"
"interface","ififo_ag_ifc","I_AGT0_FP0_IN","ififo_ag_ifc_ff",,,"I_AGENT_0","ififo_ag_ifc_ag",,,
"interface","ififo_ag_ifc","I_AGT1_FP0_IN","ififo_ag_ifc_ff",,,"I_AGENT_1","ififo_ag_ifc_ag",,,
"interface","ififo_ag_ifc","I_AGT2_FP0_IN","ififo_ag_ifc_ff",,,"I_AGENT_2","ififo_ag_ifc_ag",,,
"interface","ififo_ag_ifc","I_AGT3_FP0_IN","ififo_ag_ifc_ff",,,"I_AGENT_3","ififo_ag_ifc_ag",,,
"interface","ag_ofifo_ifc","I_AGENT_0","ag_ofifo_ifc_ag",,,"I_AGT0_FP0_OUT","ag_ofifo_ifc_ff",,,
"interface","ag_ofifo_ifc","I_AGENT_1","ag_ofifo_ifc_ag",,,"I_AGT1_FP0_OUT","ag_ofifo_ifc_ff",,,
"interface","ag_ofifo_ifc","I_AGENT_2","ag_ofifo_ifc_ag",,,"I_AGT2_FP0_OUT","ag_ofifo_ifc_ff",,,
"interface","ag_ofifo_ifc","I_AGENT_3","ag_ofifo_ifc_ag",,,"I_AGT3_FP0_OUT","ag_ofifo_ifc_ff",,,
"interface","ag_accreg_ifc","I_AGENT_0","ag_accreg_ifc_ag",,,"acc_","ag_accreg_ifc_acc0",,,
"interface","ag_accreg_ifc","I_AGENT_1","ag_accreg_ifc_ag",,,"acc_","ag_accreg_ifc_acc1",,,
"interface","ag_accreg_ifc","I_AGENT_2","ag_accreg_ifc_ag",,,"acc_","ag_accreg_ifc_acc2",,,
"interface","ag_accreg_ifc","I_AGENT_3","ag_accreg_ifc_ag",,,"acc_","ag_accreg_ifc_acc3",,,
"interface","ofifo_acc_ifc","I_AGT0_FP0_OUT","ofifo_acc_ifc_ff",,,"acc_","ofifo_acc_ifc_acc0",,,
"interface","ofifo_acc_ifc","I_AGT1_FP0_OUT","ofifo_acc_ifc_ff",,,"acc_","ofifo_acc_ifc_acc1",,,
"interface","ofifo_acc_ifc","I_AGT2_FP0_OUT","ofifo_acc_ifc_ff",,,"acc_","ofifo_acc_ifc_acc2",,,
"interface","ofifo_acc_ifc","I_AGT3_FP0_OUT","ofifo_acc_ifc_ff",,,"acc_","ofifo_acc_ifc_acc3",,,
"interface","acc_ififo_ifc","acc_","acc_ififo_ifc_acc0",,,"I_AGT0_FP0_IN","acc_ififo_ifc_ff",,,
"interface","acc_ififo_ifc","acc_","acc_ififo_ifc_acc1",,,"I_AGT1_FP0_IN","acc_ififo_ifc_ff",,,
"interface","acc_ififo_ifc","acc_","acc_ififo_ifc_acc2",,,"I_AGT2_FP0_IN","acc_ififo_ifc_ff",,,
"interface","acc_ififo_ifc","acc_","acc_ififo_ifc_acc3",,,"I_AGT3_FP0_IN","acc_ififo_ifc_ff",,,
"interface","from_csw_ifc","agent_cluster2","from_csw_ifc_ag",,,"acc_","from_csw_ifc_acc",,,
"interface","to_csw_ifc","acc_","to_csw_ifc_acc",,,"agent_cluster2","to_csw_ifc_ag",,,
