"csl_type","type_decl","from_instance_unit_name","from_connect_obj_inst_name","from_width","from_direction","to_instance_unit_name","to_connect_obj_inst_name","to_width","to_direction","actual_name"
"interface","ififo_ag_ifc","fifo_in0","ififo_ag_ifc_ff0",,,"agent0","ififo_ag_ifc_ag0",,,
"interface","ififo_ag_ifc","fifo_in1","ififo_ag_ifc_ff1",,,"agent1","ififo_ag_ifc_ag1",,,
"interface","ififo_ag_ifc","fifo_in2","ififo_ag_ifc_ff2",,,"agent2","ififo_ag_ifc_ag2",,,
"interface","ififo_ag_ifc","fifo_in3","ififo_ag_ifc_ff3",,,"agent3","ififo_ag_ifc_ag3",,,
"interface","ag_ofifo_ifc","agent0","ag_ofifo_ifc_ag0",,,"fifo_out0","ag_ofifo_ifc_ff0",,,
"interface","ag_ofifo_ifc","agent1","ag_ofifo_ifc_ag1",,,"fifo_out1","ag_ofifo_ifc_ff1",,,
"interface","ag_ofifo_ifc","agent2","ag_ofifo_ifc_ag2",,,"fifo_out2","ag_ofifo_ifc_ff2",,,
"interface","ag_ofifo_ifc","agent3","ag_ofifo_ifc_ag3",,,"fifo_out3","ag_ofifo_ifc_ff3",,,
"interface","ag_accreg_ifc","agent0","ag_accreg_ifc_ag0",,,"acc_reg","ag_accreg_ifc_acc0",,,
"interface","ag_accreg_ifc","agent1","ag_accreg_ifc_ag1",,,"acc_reg","ag_accreg_ifc_acc1",,,
"interface","ag_accreg_ifc","agent2","ag_accreg_ifc_ag2",,,"acc_reg","ag_accreg_ifc_acc2",,,
"interface","ag_accreg_ifc","agent3","ag_accreg_ifc_ag3",,,"acc_reg","ag_accreg_ifc_acc3",,,
"interface","ofifo_acc_ifc","fifo_out0","ofifo_acc_ifc_ff0",,,"acc_out","ofifo_acc_ifc_acc0",,,
"interface","ofifo_acc_ifc","fifo_out1","ofifo_acc_ifc_ff1",,,"acc_out","ofifo_acc_ifc_acc1",,,
"interface","ofifo_acc_ifc","fifo_out2","ofifo_acc_ifc_ff2",,,"acc_out","ofifo_acc_ifc_acc2",,,
"interface","ofifo_acc_ifc","fifo_out3","ofifo_acc_ifc_ff3",,,"acc_out","ofifo_acc_ifc_acc3",,,
"interface","acc_ififo_ifc","acc_in","acc_ififo_ifc_acc0",,,"fifo_in0","acc_ififo_ifc_ff0",,,
"interface","acc_ififo_ifc","acc_in","acc_ififo_ifc_acc1",,,"fifo_in1","acc_ififo_ifc_ff1",,,
"interface","acc_ififo_ifc","acc_in","acc_ififo_ifc_acc2",,,"fifo_in2","acc_ififo_ifc_ff2",,,
"interface","acc_ififo_ifc","acc_in","acc_ififo_ifc_acc3",,,"fifo_in3","acc_ififo_ifc_ff3",,,
"interface","from_csw_ifc","agent_cluster","from_csw_ifc_ag",,,"acc_in","from_csw_ifc_acc",,,
"interface","to_csw_ifc","acc_out","to_csw_ifc_acc",,,"agent_cluster","to_csw_ifc_ag",,,
