"csl_type","type_decl","from_instance_unit_name","from_connect_obj_inst_name","from_width","from_direction","to_instance_unit_name","to_connect_obj_inst_name","to_width","to_direction","actual_name"
"interface","ram_bus","RAM_","ram_bus0",,,"uart_fifo_mgr_","ram_bus1",,,"ram_ufm"
"interface","ram_bus","RAM_","ram_bus1",,,"usb_protocol_mgr_","ram_bus1",,,"ram_upm"
"interface","ram_bus","RAM_","ram_bus2",,,"usb_transaction_mgr_","ram_bus1",,,"ram_utm"
"interface","fabric_ad","uart_mgr_fab","fabric_ad0",,,"uart_fifo_mgr_","fabric_ad1",,,"umf_ufm"
"interface","fabric_ad","fab_i2c","fabric_ad0",,,"i2c_","fabric_ad1",,,"fic_i2c"
"interface","fabric_ad","uart_fab_0","fabric_ad0",,,"uart0","fabric_ad1",,,"uf0_ut0"
"interface","fabric_ad","uart_fab_1","fabric_ad0",,,"uart1","fabric_ad1",,,"uf1_ut1"
"interface","fabric_ad","proto_fab","fabric_ad0",,,"usb_protocol_mgr_","fabric_ad1",,,"prf_upm"
"interface","fabric_ad","trans_fab","fabric_ad0",,,"usb_transaction_mgr_","fabric_ad1",,,"trf_utm"
"interface","fabric_ad","uart_fab_2","fabric_ad0",,,"uart2","fabric_ad1",,,"uf2_ut2"
"interface","fabric_ad","avalon_fab","fabric_ad0",,,"avalon_bridge_","fabric_ad1",,,"avf_avb"
"interface","fabric_ad","uart_fab_3","fabric_ad0",,,"uart3","fabric_ad1",,,"uf3_ut3"
"interface","fabric_bus","uart_mgr_fab","fabric_bus0",,,"fab_i2c","fabric_bus1",,,"umf_fic"
"interface","fabric_bus","fab_filter_","fabric_bus0",,,"uart_mgr_fab","fabric_bus1",,,"ffl_umf"
"interface","fabric_bus","fab_i2c","fabric_bus0",,,"uart_fab_0","fabric_bus1",,,"fic_uf0"
"interface","fabric_bus","proto_fab","fabric_bus0",,,"fab_filter_","fabric_bus1",,,"prf_ffl"
"interface","fabric_bus","uart_fab_0","fabric_bus0",,,"uart_fab_1","fabric_bus1",,,"uf0_uf1"
"interface","fabric_bus","trans_fab","fabric_bus0",,,"proto_fab","fabric_bus1",,,"trf_prf"
"interface","fabric_bus","uart_fab_1","fabric_bus0",,,"uart_fab_2","fabric_bus1",,,"uf1_uf2"
"interface","fabric_bus","uart_fab_2","fabric_bus0",,,"uart_fab_3","fabric_bus1",,,"uf2_uf3"
"interface","fabric_bus","avalon_fab","fabric_bus0",,,"trans_fab","fabric_bus1",,,"avf_trf"
"interface","fabric_bus","uart_fab_3","fabric_bus0",,,"avalon_fab","fabric_bus1",,,"uf3_avf"
"interface","fifo_reg_bus","uart_fifo_mgr_","fifo_reg_bus0",,,"fifo_regs_","fifo_reg_bus1",,,"ufm_ffr"
"interface","fifo_reg_bus","fifo_regs_","fifo_reg_bus0",,,"usb_protocol_mgr_","fifo_reg_bus1",,,"ffr_upm"
"interface","tp_bus","usb_protocol_mgr_","tp_bus",,,"usb_transaction_mgr_","tp_bus",,,"upm_utm"
"interface","phy_bus","usb_phy_","phy_bus",,,"usb_transaction_mgr_","phy_bus",,,"upy_utm"
